MSN,YYYYMM,Value,Column_Order,Description,Unit
ELEGPUS,201003,299.571,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201004,276.121,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201005,315.656,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201006,362.985,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201007,396.195,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201008,394.651,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201009,333.057,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201010,295.646,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201011,293.833,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201012,348.549,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201013,3972.386,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201101,350.001,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201102,301.632,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201103,306.808,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201104,290.519,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201105,311.403,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201106,354.929,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201107,404.802,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201108,392.441,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201109,325.113,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201110,296.676,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201111,291.639,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201112,322.225,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201113,3948.186,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201201,326.186,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201202,296.79,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201203,296.498,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201204,283.182,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201205,323.599,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201206,347.76,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201207,400.315,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201208,381.494,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201209,321.586,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201210,298.905,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201211,293.046,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201212,320.996,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201213,3890.358,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201301,335.062,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201302,297.198,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201303,311.828,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201304,286.807,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201305,309.028,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201306,343.286,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201307,380.108,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201308,370.943,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201309,327.638,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201310,301.782,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201311,301.287,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201312,338.748,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201313,3903.715,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201401,363.645,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201402,312.276,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201403,318.914,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201404,285.453,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201405,312.072,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201406,344.988,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201407,371.817,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201408,370.304,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201409,326.756,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201410,301.847,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201411,304.738,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201412,324.193,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201413,3937.003,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201501,346.758,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201502,322.473,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201503,311.741,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201504,282.197,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201505,309.552,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201506,349.067,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201507,385.889,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201508,377.856,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201509,336.618,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201510,299.168,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201511,287.551,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201512,310.423,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201513,3919.294,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201601,339.2,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201602,301.122,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201603,291.262,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201604,280.548,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201605,303.879,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201606,354.445,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201607,397.635,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201608,395.328,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201609,338.26,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201610,300.073,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201611,284.282,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201612,332.044,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201613,3918.078,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201701,330.859,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201702,278.904,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201703,306.382,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201704,282.899,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201705,310.703,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201706,345.241,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201707,390.294,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201708,370.794,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201709,323.472,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201710,306.085,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201711,295.315,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201712,336.505,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201713,3877.453,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201801,359.449,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201802,294.633,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201803,308.747,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201804,288.509,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201805,325.905,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201806,358.523,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201807,396.854,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201808,393.497,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201809,342.917,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201810,311.75,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201811,309.062,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201812,328.32,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201813,4018.167,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201901,345.324,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201902,302.635,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201903,313.385,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201904,284.309,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201905,317.498,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201906,339.709,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201907,395.547,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201908,386.904,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201909,346.894,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201910,306.999,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201911,302.253,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201912,324.174,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,201913,3965.629,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,202001,326.217,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,202002,304.885,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,202003,294.084,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,202004,264.054,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,202005,291.979,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,202006,340.019,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,202007,400.737,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,202008,386.013,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,202009,321.755,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,202010,301.722,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,202011,290.11,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,202012,331.059,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,202013,3852.634,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,202101,337.092,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,202102,315.905,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,202103,298.757,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELC5PUS,200001,0.567,2,"Electricity Net Generation, Commercial Sector",Billion Kilowatthours
ELC5PUS,200002,0.523,2,"Electricity Net Generation, Commercial Sector",Billion Kilowatthours
ELC5PUS,200003,0.605,2,"Electricity Net Generation, Commercial Sector",Billion Kilowatthours
ELC5PUS,200004,0.608,2,"Electricity Net Generation, Commercial Sector",Billion Kilowatthours
ELC5PUS,200005,0.765,2,"Electricity Net Generation, Commercial Sector",Billion Kilowatthours
ELC5PUS,200006,0.743,2,"Electricity Net Generation, Commercial Sector",Billion Kilowatthours
ELC5PUS,200007,0.837,2,"Electricity Net Generation, Commercial Sector",Billion Kilowatthours
ELC5PUS,200008,0.891,2,"Electricity Net Generation, Commercial Sector",Billion Kilowatthours
ELC5PUS,200009,0.703,2,"Electricity Net Generation, Commercial Sector",Billion Kilowatthours
ELC5PUS,200010,0.605,2,"Electricity Net Generation, Commercial Sector",Billion Kilowatthours
ELC5PUS,200011,0.536,2,"Electricity Net Generation, Commercial Sector",Billion Kilowatthours
ELC5PUS,200012,0.519,2,"Electricity Net Generation, Commercial Sector",Billion Kilowatthours
ELC5PUS,200013,7.903,2,"Electricity Net Generation, Commercial Sector",Billion Kilowatthours
