MSN,YYYYMM,Value,Column_Order,Description,Unit
CKTCEUS,201213,1656.979,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201301,149.794,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201302,134.949,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201303,140.96,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201304,122.821,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201305,130.252,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201306,148.642,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201307,163.634,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201308,161.628,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201309,144.787,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201310,133.678,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201311,132.718,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201312,153.667,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201313,1717.53,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201401,166.02,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201402,152.11,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201403,145.155,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201404,118.314,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201405,129.302,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201406,148.432,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201407,161.891,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201408,160.946,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201409,138.679,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,201410,124.425,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
